City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kruisfontein,-34.0033,24.7314,289.47,46,0,3.47,ZA,1696302180
1,kailua-kona,19.6406,-155.9956,301.21,78,86,1.34,US,1696302091
2,adamstown,-25.066,-130.1015,293.51,74,38,10.01,PN,1696302121
3,port-aux-francais,-49.35,70.2167,275.56,81,69,15.02,TF,1696302118
4,longyearbyen,78.2186,15.6401,270.06,68,75,8.23,SJ,1696302132
5,launceston,-41.45,147.1667,290.01,88,75,9.26,AU,1696302156
6,saipan,15.1355,145.701,302.11,79,34,7.39,MP,1696302147
7,bethel,41.3712,-73.414,289.62,87,0,0.0,US,1696301834
8,kamiiso,41.8167,140.65,293.36,45,40,10.29,JP,1696302180
9,iqaluit,63.7506,-68.5145,277.0,80,100,4.12,CA,1696302127
10,blackmans bay,-43.0167,147.3167,292.22,54,68,3.71,AU,1696302130
11,kroya,-7.6331,109.2461,301.19,64,100,3.62,ID,1696302180
12,grytviken,-54.2811,-36.5092,274.17,64,98,4.82,GS,1696302117
13,purpe,64.4803,76.6897,281.9,86,98,9.64,RU,1696302181
14,georgetown,5.4112,100.3354,304.79,83,20,2.24,MY,1696302044
15,fortuna,40.5982,-124.1573,287.96,84,0,3.6,US,1696302169
16,port elizabeth,-33.918,25.5701,292.21,46,0,2.06,ZA,1696302148
17,waitangi,-43.9535,-176.5597,281.38,92,100,7.6,NZ,1696302127
18,talnakh,69.4865,88.3972,274.38,96,100,7.09,RU,1696302133
19,new norfolk,-42.7826,147.0587,292.87,55,68,3.77,AU,1696302147
20,utrik,11.2278,169.8474,301.96,78,25,6.53,MH,1696302126
21,constantia,44.1833,28.65,284.65,56,1,3.92,RO,1696302131
22,bredasdorp,-34.5322,20.0403,285.6,95,0,2.01,ZA,1696302125
23,hithadhoo,-0.6,73.0833,300.93,75,79,5.55,MV,1696302129
24,stanley,54.868,-1.6985,281.91,93,20,2.06,GB,1696302130
25,tindouf,27.6711,-8.1474,298.4,20,8,2.57,DZ,1696302142
26,vilyuchinsk,52.9306,158.4028,282.3,83,100,3.07,RU,1696302161
27,taroa,8.7058,171.2275,302.12,76,79,6.58,MH,1696302181
28,bafra,41.5678,35.9069,289.15,78,27,3.72,TR,1696302181
29,ushuaia,-54.8,-68.3,278.96,70,40,4.12,AR,1696302135
30,antsiranana,-12.2787,49.2917,295.15,86,33,3.38,MG,1696302181
31,hasaki,35.7333,140.8333,298.37,52,74,4.51,JP,1696302141
32,mbuji-mayi,-6.15,23.6,296.06,75,18,1.16,CD,1696302181
33,port lincoln,-34.7333,135.8667,288.96,51,71,9.11,AU,1696302136
34,olonkinbyen,70.9221,-8.7187,276.04,86,76,7.6,SJ,1696302119
35,ambon,-3.6954,128.1814,300.23,83,40,2.06,ID,1696302182
36,humaita,-7.5061,-63.0208,300.13,39,88,0.72,BR,1696302164
37,kalabo,-14.97,22.6814,295.02,45,15,3.08,ZM,1696302182
38,nar'yan-mar,67.6713,53.087,277.1,78,54,9.39,RU,1696302127
39,keflavik,64.0049,-22.5624,279.39,81,75,5.66,IS,1696302118
40,tiksi,71.6872,128.8694,270.94,81,89,7.77,RU,1696302129
41,port alfred,-33.5906,26.891,293.2,48,0,3.36,ZA,1696302124
42,puerto natales,-51.7236,-72.4875,276.05,96,100,1.9,CL,1696302126
43,port mathurin,-19.6833,63.4167,296.74,80,16,6.71,MU,1696302118
44,nova sintra,14.8667,-24.7167,296.3,82,15,5.33,CV,1696302128
45,vize,41.5725,27.7658,288.17,65,36,4.47,TR,1696302182
46,formosa do rio preto,-11.0483,-45.1931,299.93,36,8,1.87,BR,1696302183
47,pingliang,35.5392,106.6861,287.73,79,98,2.0,CN,1696302183
48,margaret river,-33.95,115.0667,288.23,59,90,4.48,AU,1696302142
49,thunder bay,48.4001,-89.3168,292.14,94,100,6.17,CA,1696301996
50,edinburgh of the seven seas,-37.0676,-12.3116,283.09,58,80,9.28,SH,1696302124
51,luderitz,-26.6481,15.1594,290.71,64,0,2.53,NA,1696302184
52,guiping,23.3925,110.0814,304.34,67,21,1.32,CN,1696302184
53,natal,-5.795,-35.2094,298.27,88,40,2.57,BR,1696302184
54,iskateley,67.6803,53.1512,277.05,78,55,9.39,RU,1696302123
55,baidoa,3.1138,43.6498,295.38,91,46,5.24,SO,1696302185
56,la passe,45.5549,-0.8967,293.14,85,23,6.66,FR,1696302159
57,chibougamau,49.9168,-74.3659,289.94,94,100,3.6,CA,1696302117
58,cabo san lucas,22.8909,-109.9124,303.49,72,20,6.17,MX,1696301551
59,capao da canoa,-29.7456,-50.0097,286.19,80,0,2.58,BR,1696302186
60,santa luzia,-19.7697,-43.8514,296.65,81,0,0.0,BR,1696302087
61,vyalikaya byerastavitsa,53.196,24.0166,287.9,73,100,4.5,BY,1696302186
62,vadso,70.0744,29.7487,273.64,100,75,3.09,NO,1696302158
63,ribeira grande,38.5167,-28.7,291.36,81,5,4.02,PT,1696302123
64,tura,25.5198,90.2201,299.25,87,22,2.3,IN,1696302149
65,maceio,-9.6658,-35.7353,294.84,94,20,1.54,BR,1696302095
66,illizi,26.4833,8.4667,299.04,37,0,5.85,DZ,1696302186
67,tofol,5.3248,163.0078,302.18,68,15,1.53,FM,1696302171
68,harnai,30.1005,67.9374,298.77,9,0,2.14,PK,1696302186
69,kapa'a,22.0752,-159.319,301.14,80,24,1.79,US,1696302126
70,tamanrasset,22.785,5.5228,293.1,40,0,2.06,DZ,1696302146
71,okha,53.5739,142.9478,282.41,78,100,8.6,RU,1696302151
72,tolanaro,-25.0319,46.9987,292.19,63,75,4.12,MG,1696302159
73,dudinka,69.4058,86.1778,274.61,96,100,10.28,RU,1696302139
74,nova vicosa,-17.8919,-39.3719,297.47,93,97,5.1,BR,1696302187
75,nemuro,43.3236,145.575,289.35,68,7,9.83,JP,1696302142
76,fort bragg,35.139,-79.006,293.04,85,0,0.0,US,1696302139
77,krishnarajpet,12.655,76.4883,295.66,73,100,3.32,IN,1696302187
78,yellowknife,62.456,-114.3525,282.82,98,75,1.54,CA,1696302006
79,invercargill,-46.4,168.35,289.83,49,6,2.68,NZ,1696302127
80,east london,-33.0153,27.9116,293.28,47,0,3.1,ZA,1696302134
81,whitehorse,60.7161,-135.0538,283.58,66,75,5.66,CA,1696302068
82,tionk essil,12.7856,-16.5217,298.18,86,100,1.98,SN,1696302187
83,topeka,39.0483,-95.678,298.09,61,0,4.12,US,1696302188
84,albany,42.6001,-73.9662,287.89,88,12,0.89,US,1696301969
85,college,64.8569,-147.8028,277.14,66,75,3.6,US,1696302001
86,cabedelo,-6.9811,-34.8339,296.52,75,16,4.76,BR,1696301926
87,angaur state,6.906,134.13,302.05,71,70,2.9,PW,1696302188
88,qaqortoq,60.7167,-46.0333,276.1,87,100,1.56,GL,1696302142
89,tazovsky,67.4667,78.7,280.91,94,100,8.61,RU,1696302124
90,allahganj,27.55,79.6833,299.39,38,67,3.02,IN,1696302188
91,tangzhai,34.4328,116.5911,295.6,57,5,1.82,CN,1696302188
92,langarud,37.197,50.1535,290.18,73,97,1.31,IR,1696302188
93,vila franca do campo,37.7167,-25.4333,293.38,99,20,4.89,PT,1696302188
94,kiama,-34.6833,150.8667,306.62,44,32,4.47,AU,1696302188
95,manaure,11.7751,-72.4445,301.55,83,93,3.13,CO,1696302189
96,bilibino,68.0546,166.4372,268.13,93,96,0.64,RU,1696302136
97,concordia,-31.393,-58.0209,285.25,81,40,3.13,AR,1696302009
98,bakchar,57.0186,82.0711,280.76,74,5,3.79,RU,1696302189
99,enewetak,11.3474,162.3373,301.58,78,100,4.83,MH,1696302143
100,sitka,57.0531,-135.33,285.09,87,100,4.12,US,1696302138
101,sidi salim,31.271,30.7867,293.78,66,16,2.9,EG,1696302189
102,afaahiti,-17.75,-149.2833,299.08,86,66,5.81,PF,1696302146
103,flying fish cove,-10.4217,105.6791,298.97,69,100,6.69,CX,1696302123
104,urangan,-25.3,152.9,296.45,63,58,5.18,AU,1696302159
105,lazaro cardenas,17.9583,-102.2,300.15,88,99,1.62,MX,1696302164
106,weno,7.4515,151.8468,301.88,71,90,4.01,FM,1696302151
107,codrington,-38.2667,141.9667,288.33,62,97,6.84,AU,1696302147
108,mount isa,-20.7333,139.5,307.02,17,1,6.69,AU,1696302072
109,taro,-8.3862,115.28,298.15,52,61,2.4,ID,1696302189
110,puerto ayora,-0.7393,-90.3518,296.23,98,84,2.68,EC,1696302119
111,edd,13.9297,41.6925,304.09,55,0,3.43,ER,1696302190
112,kita,13.0349,-9.4895,296.63,84,100,1.65,ML,1696302190
113,haiku-pauwela,20.9219,-156.3051,301.16,64,20,3.09,US,1696302190
114,kapuskasing,49.4169,-82.4331,294.2,68,40,5.66,CA,1696302010
115,anzio,41.4853,12.6179,296.1,62,6,1.63,IT,1696302190
116,udachny,66.4167,112.4,269.51,73,53,4.32,RU,1696302144
117,happy valley-goose bay,53.3168,-60.3315,278.32,70,75,3.09,CA,1696302120
118,vila velha,-20.3297,-40.2925,296.45,92,75,1.79,BR,1696302177
119,isla mujeres,21.2311,-86.731,299.91,81,0,3.71,MX,1696301945
120,wailua homesteads,22.0669,-159.378,300.39,79,45,1.79,US,1696302139
121,saint-philippe,-21.3585,55.7679,294.92,80,8,0.42,RE,1696302120
122,mirnyy,62.5353,113.9611,269.95,79,98,4.02,RU,1696302122
123,talcahuano,-36.7167,-73.1167,284.97,87,75,3.09,CL,1696302082
124,naraini,25.1833,80.4833,300.28,78,100,1.86,IN,1696302190
125,khorinsk,52.1657,109.7726,276.49,55,98,3.13,RU,1696302190
126,aykhal,66.0,111.5,265.41,91,82,3.13,RU,1696302118
127,ytrebygda,60.305,5.2824,284.44,96,75,4.63,NO,1696302190
128,abomsa,9.9833,39.9833,294.69,44,27,2.75,ET,1696302191
129,laguna,38.421,-121.4238,295.31,42,0,2.57,US,1696302171
130,mahina,-17.5065,-149.489,300.02,78,75,3.6,PF,1696302191
131,bhamo,24.2667,97.2333,297.75,99,100,0.41,MM,1696302191
132,tanaina,61.6269,-149.4281,280.31,92,100,2.06,US,1696302191
133,changyon,38.2508,125.0961,295.03,45,95,2.4,KP,1696302191
134,baruun-urt,46.6806,113.2792,282.35,27,17,4.48,MN,1696302192
135,naze,28.3667,129.4833,298.66,92,100,5.19,JP,1696302146
136,tateyama,34.9833,139.8667,297.53,52,40,2.35,JP,1696302114
137,san julian,21.0167,-102.1667,292.55,52,100,2.4,MX,1696302149
138,teofilo otoni,-17.8575,-41.5053,295.44,78,100,1.07,BR,1696302166
139,petropavlovsk-kamchatsky,53.0452,158.6483,281.48,85,75,6.71,RU,1696302124
140,tsiombe,-25.3,45.4833,290.79,52,18,4.99,MG,1696302118
141,mokhotlong,-29.2894,29.0675,282.14,49,0,0.73,LS,1696302192
142,uige,-7.6087,15.0613,294.32,94,100,0.67,AO,1696302192
143,newman,37.3138,-121.0208,295.14,52,33,0.89,US,1696302162
144,papatowai,-46.5619,169.4708,286.91,42,5,4.31,NZ,1696302130
145,west island,-12.1568,96.8225,300.14,65,40,5.14,CC,1696302119
146,torghay,49.6339,63.4981,284.84,59,93,2.14,KZ,1696302175
147,hermanus,-34.4187,19.2345,287.49,92,3,1.75,ZA,1696302121
148,kavaratti,10.5669,72.642,300.88,74,100,3.04,IN,1696302169
149,isafjordur,66.0755,-23.124,274.21,93,100,6.98,IS,1696302148
150,pocone,-16.2567,-56.6228,301.84,49,35,1.93,BR,1696302192
151,praia,14.9215,-23.5087,298.45,88,20,2.57,CV,1696302192
152,mata-utu,-13.2816,-176.1745,300.04,83,4,12.07,WF,1696302193
153,pisco,-13.7,-76.2167,291.49,88,0,7.72,PE,1696302138
154,badger,64.8,-147.5333,277.03,71,99,0.89,US,1696302133
155,ilulissat,69.2167,-51.1,270.16,36,0,9.77,GL,1696302127
156,aldan,58.6031,125.3894,272.15,96,100,2.68,RU,1696302155
157,pizarro,4.9533,-77.366,298.64,90,100,2.49,CO,1696302193
158,isla vista,34.4133,-119.861,290.94,77,0,0.0,US,1696302193
159,imbert,19.7537,-70.8291,300.32,88,100,1.54,DO,1696302193
160,dwarka,22.2394,68.9678,300.36,71,2,2.91,IN,1696302193
161,amahai,-3.3333,128.9167,301.25,77,95,1.13,ID,1696302193
162,vrbno pod pradedem,50.1209,17.3832,288.02,76,56,3.43,CZ,1696302193
163,trongsa,27.5026,90.5072,292.91,86,85,1.98,BT,1696302194
164,hamilton,39.1834,-84.5333,295.04,81,0,0.0,US,1696302103
165,ola,59.5833,151.2833,283.38,55,83,4.11,RU,1696302124
166,cumaral,4.2708,-73.4867,297.03,78,99,3.39,CO,1696302194
167,vernon,50.2581,-119.2691,286.27,88,99,0.51,CA,1696302088
168,two rivers,44.1539,-87.5693,294.84,87,0,3.09,US,1696302190
169,st. john's,47.5649,-52.7093,281.98,96,20,2.06,CA,1696302070
170,linamon,8.186,124.1628,304.26,64,89,1.82,PH,1696302194
171,phalaborwa,-23.943,31.1411,286.75,74,0,1.14,ZA,1696302194
172,chonchi,-42.6128,-73.8092,279.71,97,68,0.63,CL,1696302145
173,piacabucu,-10.4056,-36.4344,296.53,81,4,5.08,BR,1696302164
174,eldama ravine,0.0516,35.7308,284.91,84,79,1.9,KE,1696302194
175,satwas,22.5333,76.6833,297.9,65,99,0.47,IN,1696302194
176,homestead meadows north,31.8496,-106.1729,300.86,31,40,5.14,US,1696302194
177,klyuchi,52.2667,79.1667,280.1,44,16,4.22,RU,1696302142
178,ibaan,13.8176,121.133,303.59,73,100,4.85,PH,1696302195
179,sungai raya,0.7,108.9,303.42,59,100,2.98,ID,1696302195
180,daru,-9.0763,143.2092,300.21,75,64,4.92,PG,1696302149
181,uturoa,-16.7333,-151.4333,299.12,83,3,7.19,PF,1696302150
182,penapolis,-21.4197,-50.0775,297.0,82,3,2.87,BR,1696302171
183,isabela,6.7085,121.9711,304.18,67,13,1.36,PH,1696302195
184,piterka,50.6803,47.4454,289.88,58,99,1.79,RU,1696302195
185,touros,-5.1989,-35.4608,297.99,83,17,5.66,BR,1696302160
186,bardai,11.65,7.2333,294.12,85,100,2.67,NG,1696302157
187,kavieng,-2.5744,150.7967,301.78,73,72,1.94,PG,1696302195
188,shorapur,16.5167,76.75,298.5,72,87,5.35,IN,1696302195
189,susuman,62.7833,148.1667,274.81,61,6,1.79,RU,1696302137
190,acarau,-2.8856,-40.12,299.04,86,11,6.16,BR,1696302195
191,shar,49.5886,81.0453,286.21,56,16,2.19,KZ,1696302196
192,thompson,55.7435,-97.8558,279.24,93,100,1.03,CA,1696302086
193,mejit,10.2753,170.8646,301.78,77,21,5.7,MH,1696302196
194,kill devil hills,36.0307,-75.676,294.81,87,0,4.63,US,1696301907
195,noumea,-22.2763,166.4572,298.15,99,91,11.2,NC,1696302018
196,san fernando de apure,7.8878,-67.4724,299.5,83,100,1.79,VE,1696302196
197,cayambe,0.05,-78.1333,282.74,92,98,0.6,EC,1696302196
198,argostolion,38.1811,20.489,293.56,50,4,2.31,GR,1696302156
199,bloemhof,-27.6469,25.607,286.9,60,0,4.01,ZA,1696302196
200,glace bay,46.1969,-59.957,282.47,95,0,2.06,CA,1696302157
201,jamestown,42.097,-79.2353,289.95,93,0,0.45,US,1696301963
202,chongjin,41.7956,129.7758,293.0,48,52,2.64,KP,1696302196
203,deyang,31.1302,104.382,293.31,77,100,1.36,CN,1696302196
204,kouango,4.9934,19.9619,295.53,98,100,1.2,CF,1696302197
205,la'ie,21.6477,-157.9253,302.04,73,25,1.34,US,1696302197
206,dedovichi,57.5517,29.9502,284.82,76,97,4.7,RU,1696302197
207,fort-shevchenko,44.5086,50.263,293.19,45,100,7.58,KZ,1696302197
208,gemena,3.25,19.7667,293.66,99,100,0.89,CD,1696302197
209,wongsorejo,-7.9908,114.4009,304.4,53,90,3.83,ID,1696302197
210,jefferson city,38.5767,-92.1735,296.91,56,2,3.1,US,1696302067
211,salmas,38.1973,44.7653,285.61,62,88,1.91,IR,1696302197
212,paraiso,9.8383,-83.8656,293.63,95,100,0.35,CR,1696302170
213,alofi,-19.0595,-169.9187,297.09,69,100,9.77,NU,1696302145
214,samana,19.2056,-69.3369,299.59,87,100,2.6,DO,1696302197
215,kabompo,-13.5927,24.2008,293.86,50,7,4.55,ZM,1696302197
216,punta arenas,-53.15,-70.9167,279.21,75,75,7.2,CL,1696302118
217,carbonear,47.7332,-53.2148,282.23,95,7,0.97,CA,1696302198
218,hilo,19.7297,-155.09,299.31,89,99,0.45,US,1696302020
219,pampas,-12.4,-74.9,285.13,89,99,1.44,PE,1696302198
220,nyurba,63.2842,118.3319,272.06,75,56,2.24,RU,1696302142
221,bornu yassu,12.2774,12.5552,298.81,52,97,2.66,NG,1696302198
222,houlton,46.1262,-67.8403,287.44,77,40,2.06,US,1696302198
223,horta,38.5333,-28.6333,290.94,81,4,4.02,PT,1696302198
224,olinala,17.8333,-98.85,292.42,98,100,0.87,MX,1696302198
225,luwuk,-0.9516,122.7875,304.22,57,54,2.15,ID,1696302198
226,saldanha,-33.0117,17.9442,288.18,89,0,6.64,ZA,1696302141
227,margate,51.3813,1.3862,291.43,81,100,1.79,GB,1696301838
228,fruita,39.1589,-108.729,285.79,71,0,2.57,US,1696302026
229,zheleznogorsk,52.331,35.3711,278.59,89,0,2.59,RU,1696302198
230,santa cruz,-17.8,-63.1667,300.85,69,77,4.63,BO,1696302140
231,malango,-2.9627,119.9001,303.33,48,54,2.17,ID,1696302174
232,wieruszow,51.2949,18.1555,288.33,69,90,3.76,PL,1696301938
233,kalmunai,7.4167,81.8167,300.58,77,61,6.76,LK,1696302155
234,queenstown,-31.8976,26.8753,289.88,42,0,2.49,ZA,1696302143
235,nizhnesortymskiy,62.4397,71.7603,281.54,89,51,6.9,RU,1696302198
236,seosan,36.7817,126.4522,292.89,56,100,2.49,KR,1696302199
237,floro,61.5996,5.0328,284.13,82,100,8.23,NO,1696302197
238,palmer,42.1584,-72.3287,287.38,82,0,0.0,US,1696302153
239,ust-nera,64.5667,143.2,274.94,68,29,1.34,RU,1696302127
240,avarua,-21.2078,-159.775,295.18,64,75,7.2,CK,1696302124
241,kone,-21.0595,164.8658,297.56,59,96,4.27,NC,1696302149
242,oral,51.2333,51.3667,283.14,76,0,3.0,KZ,1696302199
243,atafu village,-8.5421,-172.5159,302.08,73,10,5.31,TK,1696302131
244,prieska,-29.6641,22.7474,294.22,30,0,3.3,ZA,1696302199
245,bokakhat,26.6333,93.6,301.49,87,41,1.48,IN,1696302199
246,hongwon,40.0253,127.9558,293.36,45,100,2.91,KP,1696302199
247,taco pozo,-25.6167,-63.2833,297.79,44,0,2.29,AR,1696302199
248,colonia,50.9333,6.95,295.61,73,0,4.63,DE,1696302018
249,lihue,21.9789,-159.3672,300.73,72,43,2.76,US,1696302067
250,dubbo,-32.25,148.6167,303.22,21,62,11.32,AU,1696302172
251,manokwari,-0.8667,134.0833,301.35,71,91,2.12,ID,1696302170
252,faaa,-17.55,-149.6,300.13,78,75,3.6,PF,1696302199
253,beau vallon,-20.4189,57.6953,296.05,94,20,2.57,MU,1696302199
254,lebu,-37.6167,-73.65,282.65,83,93,4.06,CL,1696302137
255,san mariano,7.5,126.0,304.41,59,53,2.03,PH,1696302199
256,riyadh,24.6877,46.7219,300.23,18,0,2.96,SA,1696301914
257,bamboo flat,11.7,92.7167,300.2,89,75,3.09,IN,1696302168
258,gadzhiyevo,69.2551,33.3362,274.64,75,100,2.92,RU,1696302135
259,nabire,-3.3667,135.4833,302.8,67,96,1.49,ID,1696302200
260,hamina,60.5697,27.1979,285.75,88,100,8.54,FI,1696302200
261,ilabaya,-17.4208,-70.5133,291.1,59,5,0.33,PE,1696302200
262,port saint john's,-31.6229,29.5448,292.2,56,0,4.23,ZA,1696302119
263,lerwick,60.1545,-1.1494,285.15,83,7,9.41,GB,1696302156
264,fountain hills,33.6117,-111.7174,299.0,33,0,3.09,US,1696302200
265,zhangjiajie,29.1294,110.4783,291.03,96,100,1.17,CN,1696302200
266,kasongo-lunda,-6.4667,16.8167,294.29,96,100,0.37,CD,1696302200
267,patterson,37.4716,-121.1297,296.01,52,37,2.43,US,1696302185
268,arkhangel'sk,64.5401,40.5433,276.55,84,100,3.5,RU,1696301929
269,porto novo,6.4965,2.6036,300.05,92,48,2.46,BJ,1696302070
270,khandyga,62.6667,135.6,280.78,77,100,0.48,RU,1696302170
271,lompoc,34.6391,-120.4579,289.7,86,0,7.6,US,1696302157
272,itoman,26.1247,127.6694,306.36,79,75,6.69,JP,1696302200
273,port-vila,-17.7338,168.3219,297.1,76,100,11.12,VU,1696302018
274,bilokurakyne,49.5341,38.7307,282.4,80,5,3.27,UA,1696302200
275,pacocha,-17.5833,-71.3333,290.31,86,67,1.5,PE,1696302200
276,muisne,0.6,-80.0333,297.6,80,97,5.49,EC,1696302200
277,sao gabriel da cachoeira,-0.1303,-67.0892,298.17,80,100,0.96,BR,1696302201
